"source","text","created_at","retweet_count","favorite_count","is_retweet","id_str","sentiment"
"Twitter for iPhone","...considerable aid, including money, fuel, fertilizer and various other commodities. This is not helpful! Nonetheless, the President believes that his relationship with Kim Jong Un is a very good and warm one, and there is no reason at this time to be spending large amounts...","Wed Aug 29 21:23:09 +0000 2018",8731,30770,false,"1034914376141168640","{""neg"":0.09,""neu"":0.797,""pos"":0.113,""compound"":0.277}"
"Twitter for iPhone","STATEMENT FROM THE WHITE HOUSE

President Donald J. Trump feels strongly that North Korea is under tremendous pressure from China because of our major trade disputes with the Chinese Government. At the same time, we also know that China is providing North Korea with...","Wed Aug 29 21:23:08 +0000 2018",15568,58860,false,"1034914371099676674","{""neg"":0.091,""neu"":0.865,""pos"":0.044,""compound"":-0.296}"
"Twitter for iPhone","#StopTheBias https://t.co/xqz599iQZw","Wed Aug 29 20:55:45 +0000 2018",38804,104282,false,"1034907478566359041","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","How the hell is Bruce Ohr still employed at the Justice Department? Disgraceful!  Witch Hunt!","Wed Aug 29 15:12:23 +0000 2018",25889,99339,false,"1034821067423014913","{""neg"":0.333,""neu"":0.52,""pos"":0.147,""compound"":-0.6467}"
"Twitter for iPhone","Consumer Confidence Index, just out, is the HIGHEST IN 18 YEARS! Also, GDP revised upward to 4.2 from 4.1. Our country is doing great!","Wed Aug 29 14:56:38 +0000 2018",20403,78521,false,"1034817106632761344","{""neg"":0,""neu"":0.734,""pos"":0.266,""compound"":0.8395}"
"Twitter for iPhone","White House Counsel Don McGahn will be leaving his position in the fall, shortly after the confirmation (hopefully) of Judge Brett Kavanaugh to the United States Supreme Court. I have worked with Don for a long time and truly appreciate his service!","Wed Aug 29 14:30:35 +0000 2018",12491,59624,false,"1034810550025433090","{""neg"":0,""neu"":0.745,""pos"":0.255,""compound"":0.906}"
"Twitter for iPhone","Martha McSally is an extraordinary woman. She was a very talented fighter jet pilot and is now a highly respected member of Congress. She is Strong on Crime, the Border and our  under siege 2nd Amendment. Loves our Military and our Vets. Has my total and complete Endorsement!","Wed Aug 29 12:52:05 +0000 2018",13757,59748,false,"1034785759377727490","{""neg"":0.057,""neu"":0.64,""pos"":0.303,""compound"":0.932}"
"Twitter for iPhone","When you see “anonymous source,” stop reading the story, it is fiction!","Wed Aug 29 12:41:38 +0000 2018",37479,144895,false,"1034783131855998976","{""neg"":0.185,""neu"":0.815,""pos"":0,""compound"":-0.3595}"
"Twitter for iPhone","“Anonymous Sources are really starting to BURN the media.” @FoxNews The fact is that many anonymous sources don’t even exist. They are fiction made up by the Fake News reporters. Look at the lie that Fake CNN is now in. They got caught red handed! Enemy of the People!","Wed Aug 29 12:40:05 +0000 2018",28910,101845,false,"1034782741714399232","{""neg"":0.183,""neu"":0.817,""pos"":0,""compound"":-0.8829}"
"Twitter for iPhone","Big Election Wins last night! The Republican Party will MAKE AMERICA GREAT AGAIN! Actually, it is happening faster than anybody thought possible! It is morphing into KEEP AMERICA GREAT!","Wed Aug 29 12:23:18 +0000 2018",17684,73027,false,"1034778515789545473","{""neg"":0,""neu"":0.592,""pos"":0.408,""compound"":0.9597}"
"Twitter for iPhone","“Hillary Clinton and the DNC paid for information from the Russian government to use against her government - there’s no doubt about that!” @TuckerCarlson","Wed Aug 29 12:18:10 +0000 2018",19856,69602,false,"1034777225336369152","{""neg"":0.192,""neu"":0.808,""pos"":0,""compound"":-0.6114}"
"Twitter for iPhone","“The Obama people did something that’s never been done...They spied on a rival presidential campaign. Would it be OK if Trump did it next? I am losing faith that our system is on the level. I’m beginning to think it is rotten &amp; corrupt. Scary stuff Obama did.” @TuckerCarlson  DOJ","Wed Aug 29 12:12:38 +0000 2018",25522,82587,false,"1034775835004358656","{""neg"":0.157,""neu"":0.744,""pos"":0.099,""compound"":-0.5215}"
"Twitter for iPhone","Not only did Congressman Ron DeSantis easily win the Republican Primary, but his opponent in November is his biggest dream....a failed Socialist Mayor named Andrew Gillum who has allowed crime &amp; many other problems to flourish in his city. This is not what Florida wants or needs!","Wed Aug 29 12:00:37 +0000 2018",18440,70513,false,"1034772809350885376","{""neg"":0.221,""neu"":0.71,""pos"":0.069,""compound"":-0.8988}"
"Twitter for iPhone","Martha McSally, running in the Arizona Primary for U.S. Senate, was endorsed by rejected Senator Jeff Flake....and turned it down - a first! Now Martha, a great U.S. Military fighter jet pilot and highly respected member of Congress, WINS BIG. Congratulations, and on to November!","Wed Aug 29 04:44:54 +0000 2018",14916,67888,false,"1034663158357655552","{""neg"":0.057,""neu"":0.6,""pos"":0.343,""compound"":0.9494}"
"Twitter for iPhone","Hillary Clinton’s Emails, many of which are Classified Information, got hacked by China. Next move better be by the FBI &amp; DOJ or, after all of their other missteps (Comey, McCabe, Strzok, Page, Ohr, FISA, Dirty Dossier etc.), their credibility will be forever gone!","Wed Aug 29 04:11:45 +0000 2018",30579,97183,false,"1034654816046329856","{""neg"":0.118,""neu"":0.823,""pos"":0.058,""compound"":-0.4574}"
"Twitter for iPhone","New Poll - A majority of Americans think that John Brennan and James Comey should have their Security Clearances Revoked. Not surprised! @FoxNews","Wed Aug 29 02:26:35 +0000 2018",23747,100631,false,"1034628350986338308","{""neg"":0,""neu"":0.805,""pos"":0.195,""compound"":0.5562}"
"Twitter for iPhone","Our new Trade Deal with Mexico focuses on FARMERS, GROWTH for our country, tearing down TRADE BARRIERS, JOBS and having companies continue to POUR BACK INTO OUR COUNTRY. It will be a big hit!","Wed Aug 29 02:19:58 +0000 2018",18647,78051,false,"1034626683066826753","{""neg"":0,""neu"":0.898,""pos"":0.102,""compound"":0.561}"
"Twitter for iPhone","Add the 2026 World Cup to our long list of accomplishments!","Wed Aug 29 01:21:59 +0000 2018",17907,94757,false,"1034612092253470721","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","Report just out: “China hacked Hillary Clinton’s private Email Server.” Are they sure it wasn’t Russia (just kidding!)? What are the odds that the FBI and DOJ are right on top of this? Actually, a very big story. Much classified information!","Wed Aug 29 01:16:58 +0000 2018",36860,122356,false,"1034610829860261895","{""neg"":0.06,""neu"":0.827,""pos"":0.113,""compound"":0.3278}"
"Twitter for iPhone","Congratulations to Governor Rick Scott of Florida on his conclusive Republican Primary Win. He will be a great Senator!","Wed Aug 29 00:48:11 +0000 2018",15501,70639,false,"1034603586817339392","{""neg"":0,""neu"":0.554,""pos"":0.446,""compound"":0.92}"
"Twitter for iPhone","Such a fantastic win for Ron DeSantis and the people of the Great State of Florida. Ron will be a fantastic Governor. On to November!","Wed Aug 29 00:32:05 +0000 2018",18468,80502,false,"1034599532787630080","{""neg"":0,""neu"":0.552,""pos"":0.448,""compound"":0.9468}"
"Twitter for iPhone","https://t.co/H2FiSVxyOF","Tue Aug 28 20:50:34 +0000 2018",12383,53366,false,"1034543787593347072","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","“Consumer confidence pops in August to highest level since October 2000” https://t.co/1Gg5IOtbNa","Tue Aug 28 17:28:28 +0000 2018",16455,63235,false,"1034492929153359872","{""neg"":0,""neu"":0.769,""pos"":0.231,""compound"":0.5106}"
"Twitter for iPhone","....results on “Trump News” are from National Left-Wing Media, very dangerous. Google &amp; others are suppressing voices of Conservatives and hiding information and news that is good. They are controlling what we can &amp; cannot see. This is a very serious situation-will be addressed!","Tue Aug 28 15:02:51 +0000 2018",20165,72251,false,"1034456281120206848","{""neg"":0.151,""neu"":0.79,""pos"":0.059,""compound"":-0.5541}"
"Twitter for iPhone","Google search results for “Trump News” shows only the viewing/reporting of Fake News Media. In other words, they have it RIGGED, for me &amp; others, so that almost all stories &amp; news is BAD. Fake CNN is prominent. Republican/Conservative &amp; Fair Media is shut out. Illegal? 96% of....","Tue Aug 28 15:02:49 +0000 2018",26808,93237,false,"1034456273306243076","{""neg"":0.275,""neu"":0.652,""pos"":0.073,""compound"":-0.9283}"
"Twitter for iPhone","I smile at Senators and others talking about how good free trade is for the U.S. What they don’t say is that we lose Jobs and over 800 Billion Dollars a year on really dumb Trade Deals....and these same countries Tariff us to death. These lawmakers are just fine with this!","Tue Aug 28 14:21:08 +0000 2018",23886,88643,false,"1034445783876161536","{""neg"":0.162,""neu"":0.667,""pos"":0.171,""compound"":-0.2465}"
"Twitter for iPhone","NASDAQ has just gone above 8000 for the first time in history!","Tue Aug 28 09:57:51 +0000 2018",28251,120057,false,"1034379525113753601","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","“President Trump has done more for minority groups in this country than any president in decades.”  @LouDobbs","Tue Aug 28 09:54:32 +0000 2018",19318,79146,false,"1034378693370630145","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone","....results on “Trump News” are from National Left-Wing Media, very dangerous. Google &amp; others are suppressing voices of Conservatives and hiding information and news that is good. They are controlling what we can &amp; cannot see. This is a very serious situation-will be addressed!","Tue Aug 28 09:34:44 +0000 2018",16499,53227,false,"1034373707047882759","{""neg"":0.151,""neu"":0.79,""pos"":0.059,""compound"":-0.5541}"
"Twitter for iPhone","Google search results for “Trump News” shows only the viewing/reporting of Fake New Media. In other words, they have it RIGGED, for me &amp; others, so that almost all stories &amp; news is BAD. Fake CNN is prominent. Republican/Conservative &amp; Fair Media  is shut out. Illegal?  96% of...","Tue Aug 28 09:24:35 +0000 2018",16813,53762,false,"1034371152204967936","{""neg"":0.275,""neu"":0.652,""pos"":0.073,""compound"":-0.9283}"
"Twitter for iPhone","VOTE FOR RON! https://t.co/80NShvQ73u","Tue Aug 28 01:18:38 +0000 2018",19299,69183,false,"1034248860116430848","{""neg"":0,""neu"":1,""pos"":0,""compound"":0}"
"Twitter for iPhone",".@FLOTUS Melania and I were honored to welcome the President of the Republic of Kenya, @UKenyatta and Mrs. Margaret Kenyatta to the @WhiteHouse today! https://t.co/ZU5MovNKt8","Mon Aug 27 22:07:50 +0000 2018",16554,70643,false,"1034200842868383744","{""neg"":0,""neu"":0.756,""pos"":0.244,""compound"":0.7959}"
"Twitter for iPhone","RT @FLOTUS: It was a pleasure having @FirstLadyKenya at the @WhiteHouse today.  I enjoyed learning about @BeyondZeroKenya &amp; discussing our…","Mon Aug 27 22:07:45 +0000 2018",13202,0,true,"1034200822987599872","{""neg"":0,""neu"":0.696,""pos"":0.304,""compound"":0.7906}"
"Twitter for iPhone","United States-Mexico Trade Agreement: https://t.co/E1AzveYPli https://t.co/ZYbHt1pD8a","Mon Aug 27 18:11:20 +0000 2018",15752,59250,false,"1034141327666163712","{""neg"":0,""neu"":0.4,""pos"":0.6,""compound"":0.7184}"
"Twitter for iPhone","Governor Doug Ducey of Arizona is doing a great job. It would be really nice to show your support tomorrow by voting for him in Tuesdays Primary. Doug is strong on Crime, the Border, and our Second Amendment. Loves our Military &amp; our Vets. He has my full and complete Endorsement.","Mon Aug 27 17:22:07 +0000 2018",18585,72422,false,"1034128943480299521","{""neg"":0.053,""neu"":0.655,""pos"":0.292,""compound"":0.9402}"
"Twitter for iPhone","Congressman Ron DeSantis is a special person who has done an incredible job. He is running in Tuesdays Primary for Governor of Florida….Strong on Crime, Borders and wants Low Taxes. He will be a great Governor and has my full and total Endorsement!","Mon Aug 27 17:20:15 +0000 2018",18934,68971,false,"1034128472946434056","{""neg"":0.11,""neu"":0.706,""pos"":0.184,""compound"":0.5848}"
"Twitter for iPhone","Rick Scott of Florida is doing a fantastic job as Governor. Jobs are pouring into the State and its economic health is better than ever before. He is strong on Crime, Borders, and loves our Military and Vets. Vote for Rick on Tuesday!","Mon Aug 27 17:19:20 +0000 2018",18025,71447,false,"1034128239579549696","{""neg"":0.064,""neu"":0.682,""pos"":0.254,""compound"":0.8832}"
"Twitter for iPhone","A big deal looking good with Mexico!","Mon Aug 27 13:39:02 +0000 2018",22014,113078,false,"1034072800041099265","{""neg"":0,""neu"":0.61,""pos"":0.39,""compound"":0.4926}"
"Twitter for iPhone","The Fake News Media worked hard to get Tiger Woods to say something that he didn’t want to say. Tiger wouldn’t play the game - he is very smart. More importantly, he is playing great golf again!","Mon Aug 27 13:37:39 +0000 2018",30618,153250,false,"1034072454086447104","{""neg"":0.093,""neu"":0.58,""pos"":0.326,""compound"":0.8818}"
"Twitter for iPhone","Thank you to the great @JimBrownNFL32, perhaps the greatest running back of all time, for your wonderful words and support. Since our meeting in New York, African-American UNEMPLOYMENT has reached the LOWEST LEVEL IN HISTORY. You get it!","Mon Aug 27 12:57:37 +0000 2018",21147,86296,false,"1034062375941550081","{""neg"":0.125,""neu"":0.537,""pos"":0.338,""compound"":0.8985}"
"Twitter for iPhone","Over 90% approval rating for your all time favorite (I hope) President within the Republican Party and 52% overall. This despite all of the made up stories by the Fake News Media trying endlessly to make me look as bad and evil as possible. Look at the real villains please!","Mon Aug 27 00:39:38 +0000 2018",43350,180700,false,"1033876658439245825","{""neg"":0.228,""neu"":0.611,""pos"":0.161,""compound"":-0.7644}"
"Twitter for iPhone","“Mainstream Media tries to rewrite history to credit Obama for Trump accomplishments. Since President Trump took office, the economy is booming. The stronger the economy gets, the more desperate his critics are. O had weakest recovery since Great Depression.” @WashTimes","Sun Aug 26 22:01:33 +0000 2018",30106,112974,false,"1033836873473568768","{""neg"":0.165,""neu"":0.651,""pos"":0.184,""compound"":0.2366}"
"Twitter for iPhone","Fantastic numbers on consumer spending released on Friday. Stock Market hits all time high!","Sun Aug 26 14:31:06 +0000 2018",22339,106428,false,"1033723516116500481","{""neg"":0,""neu"":0.77,""pos"":0.23,""compound"":0.5983}"
"Twitter for iPhone","...And it will get, as I have always said, much better from even here! https://t.co/El26RzBjpG","Sun Aug 26 14:27:16 +0000 2018",17829,77045,false,"1033722550881329152","{""neg"":0,""neu"":0.803,""pos"":0.197,""compound"":0.4926}"
"Twitter for iPhone","RT @realDonaldTrump: Social Media Giants are silencing millions of people. Can’t do this even if it means we must continue to hear Fake New…","Sun Aug 26 14:25:47 +0000 2018",53238,0,true,"1033722177156247552","{""neg"":0.173,""neu"":0.827,""pos"":0,""compound"":-0.5574}"
"Twitter for iPhone","RT @realDonaldTrump: Big story out that the FBI ignored tens of thousands of Crooked Hillary Emails, many of which are REALLY BAD. Also gav…","Sun Aug 26 14:24:17 +0000 2018",42225,0,true,"1033721802000936960","{""neg"":0.256,""neu"":0.744,""pos"":0,""compound"":-0.8205}"
"Twitter for iPhone","RT @realDonaldTrump: ....FISA abuse, Christopher Steele &amp; his phony and corrupt Dossier, the Clinton Foundation, illegal surveillance of Tr…","Sun Aug 26 13:21:44 +0000 2018",29763,0,true,"1033706057330241537","{""neg"":0.315,""neu"":0.685,""pos"":0,""compound"":-0.8316}"
"Twitter for iPhone","RT @realDonaldTrump: “Department of Justice will not be improperly influenced by political considerations.” Jeff, this is GREAT, what every…","Sun Aug 26 13:21:41 +0000 2018",32809,0,true,"1033706045988892672","{""neg"":0,""neu"":0.674,""pos"":0.326,""compound"":0.8494}"
"Twitter for iPhone","My deepest sympathies and respect go out to the family of Senator John McCain. Our hearts and prayers are with you!","Sun Aug 26 00:44:13 +0000 2018",39258,219420,false,"1033515425336885248","{""neg"":0,""neu"":0.855,""pos"":0.145,""compound"":0.5255}"
