"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for iPhone","966312434100326400","Question: If all of the Russian meddling took place during the Obama Administration, right up to January 20th, why aren’t they the subject of the investigation? Why didn’t Obama do something about the meddling? Why aren’t Dem crimes under investigation? Ask Jeff Session!","Wed Feb 21 14:03:32 +0000 2018",6336,,21118,false
"Twitter for iPhone","966119932793585664","@CNN @MSNBC Whether we are Republican or Democrat, we must now focus on strengthening Background Checks!","Wed Feb 21 01:18:36 +0000 2018",16129,"25073877",81372,false
"Twitter for iPhone","966118856874971138","So true, thank you! https://t.co/9TTXlfokYz","Wed Feb 21 01:14:19 +0000 2018",21826,,97813,false
"Twitter for iPhone","966117265426001920","Bad ratings @CNN &amp; @MSNBC got scammed when they covered the anti-Trump Russia rally wall-to-wall. They probably knew it was Fake News but, because it was a rally against me, they pushed it hard anyway. Two really dishonest newscasters, but the public is wise!","Wed Feb 21 01:08:00 +0000 2018",22372,,95052,false
"Twitter for iPhone","966006815745040384","Main Street is BOOMING thanks to our incredible TAX CUT and Reform law. ""This shows small-business owners are more than just optimistic, they are ready to grow their businesses."" https://t.co/w9aw68UwOj","Tue Feb 20 17:49:07 +0000 2018",17507,,74716,false
"Twitter for iPhone","965971586913374208","....cameras running. Another False Accusation. Why doesn’t @washingtonpost report the story of the women taking money to make up stories about me? One had her home mortgage paid off. Only @FoxNews so reported...doesn’t fit the Mainstream Media narrative.","Tue Feb 20 15:29:07 +0000 2018",19693,,79159,false
"Twitter for iPhone","965968309358333952","A woman I don’t know and, to the best of my knowledge, never met, is on the FRONT PAGE of the Fake News Washington Post saying I kissed her (for two minutes yet) in the lobby of Trump Tower 12 years ago. Never happened! Who would do this in a public space with live security......","Tue Feb 20 15:16:06 +0000 2018",21676,,96352,false
"Twitter for iPhone","965943827931549696","I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!","Tue Feb 20 13:38:49 +0000 2018",16216,,77951,false
"Twitter for iPhone","965937068907073536","Hope Republicans in the Great State of Pennsylvania challenge the new “pushed” Congressional Map, all the way to the Supreme Court, if necessary. Your Original was correct! Don’t let the Dems take elections away from you so that they can raise taxes &amp; waste money!","Tue Feb 20 13:11:58 +0000 2018",20211,,79178,false
"Twitter for iPhone","965935035328155649","Matt Schlapp and CPAC are getting ready for another exciting event. Big difference from those days when President Obama held the White House. You’ve come a long way Matt!","Tue Feb 20 13:03:53 +0000 2018",10176,,51701,false
"Twitter for iPhone","965932714141650946","Republicans are now leading the Generic Poll, perhaps because of the popular Tax Cuts which the Dems want to take away. Actually, they want to raise you taxes, substantially. Also, they want to do nothing on DACA, R’s want to fix!","Tue Feb 20 12:54:39 +0000 2018",17161,,82044,false
"Twitter for iPhone","965930611272712192","....The President Obama quote just before election. That’s because he thought Crooked Hillary was going to win and he didn’t want to “rock the boat.” When I easily won the Electoral College, the whole game changed and the Russian excuse became the narrative of the Dems.","Tue Feb 20 12:46:18 +0000 2018",20699,,85341,false
"Twitter for iPhone","965928352614965248","“There is no serious person out there who would suggest somehow that you could even rig America’s elections, there’s no evidence that that has happened in the past or that it will happen this time, and so I’d invite Mr. Trump to stop whining and make his case to get votes.” .....","Tue Feb 20 12:37:20 +0000 2018",17403,,67815,false
